adult,original_title,release_date,imdb_id,popularity
False,Dunston Checks In,1996-01-12,tt0116151,4.814825
False,Black Sheep,1996-02-01,tt0115697,8.963037
False,Nick of Time,1995-11-22,tt0113972,6.848591
False,The Journey of August King,1995-09-14,tt0113490,0.411424
False,Mary Reilly,1996-02-23,tt0117002,12.866139
False,Vampire in Brooklyn,1995-10-26,tt0114825,9.071127
False,Beautiful Girls,1996-02-09,tt0115639,4.670562
False,Broken Arrow,1996-02-09,tt0115759,14.957626
False,A Midwinter's Tale,1995-12-01,tt0113403,0.513391
False,La Haine,1995-05-31,tt0113247,12.108196
False,Shopping,1994-12-06,tt0111173,2.657647
False,Heidi Fleiss: Hollywood Madam,1995-12-27,tt0113283,0.638211
False,City Hall,1996-02-16,tt0115907,4.807223
False,Bottle Rocket,1996-02-21,tt0115734,6.904831
False,Mr. Wrong,1996-02-16,tt0117102,3.329264
False,Unforgettable,1996-02-23,tt0118040,2.464425
False,Happy Gilmore,1996-02-16,tt0116483,9.592265
False,The Bridges of Madison County,1995-05-28,tt0112579,5.951077
False,Keiner liebt mich,1994-11-07,tt0110251,1.015068
False,Muppet Treasure Island,1996-02-16,tt0117110,6.902423
False,Catwalk,1995-12-08,tt0112646,0.976707
False,Headless Body in Topless Bar,1995-05-20,tt0113276,0.001346
False,Braveheart,1995-05-24,tt0112573,20.755149
False,Taxi Driver,1976-02-07,tt0075314,14.092713
False,紅番區,1995-01-30,tt0113326,12.314278
False,Before and After,1996-02-23,tt0115645,2.938293
False,Margaret's Museum,1995-09-13,tt0113774,0.372697
False,Le Bonheur est dans le pré,1995-01-31,tt0112556,1.254885
False,Anne Frank Remembered,1995-06-08,tt0112373,0.243986
False,The Young Poisoner's Handbook,1995-01-20,tt0115033,6.178497
False,If Lucy Fell,1996-03-08,tt0116606,2.891918
False,Steal Big Steal Little,1995-09-29,tt0114536,1.522412
False,Race the Sun,1996-03-22,tt0117427,1.317878
False,The Boys of St. Vincent,1992-12-06,tt0106473,0.86539
False,Boomerang,1992-06-30,tt0103859,6.506983
False,重慶森林,1994-07-14,tt0109424,6.778979
False,L'uomo delle stelle,1995-09-21,tt0114808,1.702639
False,Flirting with Disaster,1996-03-22,tt0116324,5.579088
False,The NeverEnding Story III,1994-10-26,tt0110647,6.252377
False,صمت القصور,1994-09-30,tt0111055,0.406754
False,Jupiter's Wife,1995-01-01,tt0110217,0.001178
False,Pie in the Sky,1996-02-09,tt0114131,0.699066
False,Angela,1995-01-01,tt0112364,2.197439
False,Frankie Starlight,1995-11-22,tt0113107,0.637554
False,Jade,1995-10-13,tt0113451,11.418917
False,Nueba Yol,1995-08-16,tt0114015,0.291021
False,Sonic Outlaws,1995-08-01,tt0114500,0.001838
False,Down Periscope,1996-03-01,tt0116130,5.184977
False,From the Journals of Jean Seberg,1995-09-08,tt0113125,0.276401
False,Man of the Year,1995-09-15,tt0113756,0.540436
False,The Neon Bible,1995-08-23,tt0113952,0.370342
False,Target,1995-08-01,tt0114618,0.001205
False,Up Close & Personal,1996-03-01,tt0118055,3.402749
False,The Birdcage,1996-03-08,tt0115685,6.49968
False,Gospa,1995-10-12,tt0113200,0.918504
False,The Brothers McMullen,1995-08-09,tt0112585,2.039196
False,Bad Boys,1995-04-07,tt0112442,9.262184
False,The Amazing Panda Adventure,1995-08-25,tt0112342,2.375865
False,The Basketball Diaries,1995-04-21,tt0112461,7.415144
False,An Awfully Big Adventure,1995-07-21,tt0112427,0.922958
False,Amateur,1994-08-05,tt0109093,1.759012
False,Apollo 13,1995-06-30,tt0112384,18.761467
False,Rob Roy,1995-04-13,tt0114287,10.193549
False,The Addiction,1995-01-10,tt0112288,3.137285
False,Batman Forever,1995-06-16,tt0112462,13.321354
False,Belle de jour,1967-05-24,tt0061395,10.142662
False,Beyond Rangoon,1995-05-24,tt0112495,2.04189
False,Blue in the Face,1995-09-15,tt0112541,11.528147
False,Canadian Bacon,1995-06-08,tt0109370,5.391556
False,Casper,1995-05-26,tt0112642,12.812539
False,Clockers,1995-09-15,tt0112688,4.558992
False,Congo,1995-06-09,tt0112715,7.260574
False,Crimson Tide,1995-05-12,tt0112740,8.657365
False,Crumb,1994-09-10,tt0109508,3.620388
False,Desperado,1995-08-25,tt0112851,6.950458
False,Devil in a Blue Dress,1995-09-15,tt0112857,4.646132
False,Die Hard: With a Vengeance,1995-05-19,tt0112864,15.138855
False,The Doom Generation,1995-10-27,tt0112887,7.120806
False,Feast of July,1995-10-12,tt0113044,0.523575
False,First Knight,1995-07-07,tt0113071,15.178338
False,Free Willy 2 - The Adventure Home,1995-07-19,tt0113114,7.575098
False,Hackers,1995-09-14,tt0113243,14.810519
False,Jeffrey,1995-08-18,tt0113464,3.196456
False,Johnny Mnemonic,1995-05-26,tt0113481,11.715868
False,Judge Dredd,1995-06-30,tt0113492,8.184815
False,Jury Duty,1995-04-12,tt0113500,3.676921
False,Kids,1995-07-28,tt0113540,4.877872
False,Living in Oblivion,1995-01-20,tt0113677,10.058329
False,Lord of Illusions,1995-08-25,tt0113690,4.102409
False,Love & Human Remains,1993-05-20,tt0107447,0.354014
False,Mad Love,1995-05-26,tt0113729,2.624771
False,Mallrats,1995-10-20,tt0113749,8.25547
False,Mighty Morphin Power Rangers: The Movie,1995-06-30,tt0113820,7.024227
False,Moonlight and Valentino,1995-09-29,tt0113851,1.01115
False,Mute Witness,1995-09-28,tt0110604,2.466066
False,Nadja,1994-09-13,tt0110620,7.720056
False,The Net,1995-07-28,tt0113957,13.304342
False,Nine Months,1995-07-12,tt0113986,8.482834
False,Party Girl,1995-06-09,tt0114095,1.165039
False,The Prophecy,1995-09-01,tt0114194,10.187623
False,Reckless,1995-11-17,tt0114241,0.119713
False,Safe,1995-06-23,tt0114323,8.180047
False,The Scarlet Letter,1995-10-13,tt0114345,6.752119
False,The Show,1995-08-25,tt0114435,0.159596
False,Showgirls,1995-09-22,tt0114436,17.502375
False,Smoke,1995-06-09,tt0114478,5.552946
False,Something to Talk About,1995-08-04,tt0114496,3.743212
False,Species,1995-07-07,tt0114508,13.492845
False,The Stars Fell on Henrietta,1995-09-15,tt0114534,0.913522
False,Strange Days,1995-10-13,tt0114558,11.223055
False,Les parapluies de Cherbourg,1964-02-19,tt0058450,8.133881
False,The Tie That Binds,1995-09-08,tt0114666,1.820419
False,Three Wishes,1995-10-27,tt0114663,11.002046
False,Total Eclipse,1995-11-02,tt0114702,4.546552
False,To Wong Foo Thanks for Everything! Julie Newmar,1995-09-07,tt0114682,7.653446
False,Under Siege 2: Dark Territory,1995-07-13,tt0114781,7.490247
False,Unstrung Heroes,1995-09-15,tt0114798,2.881689
False,Unzipped,1995-08-11,tt0114805,0.786023
False,A Walk in the Clouds,1995-08-11,tt0114887,9.715639
False,Waterworld,1995-07-28,tt0114898,16.885184
False,White Man's Burden,1995-12-01,tt0114928,1.834099
False,Wild Bill,1995-12-01,tt0114938,8.922139
False,The Browning Version,1994-10-12,tt0109340,3.727644
False,Bushwhacked,1995-08-04,tt0112602,3.287036
False,Утомлённые солнцем,1994-05-01,tt0111579,2.486073
False,Before the Rain,1994-06-09,tt0110882,3.525649
False,Before Sunrise,1995-01-27,tt0112471,11.304979
False,Billy Madison,1995-02-10,tt0112508,6.638116
False,The Babysitter,1995-10-17,tt0112438,2.761837
False,Boys on the Side,1995-02-03,tt0112571,3.030309
False,The Cure,1995-04-21,tt0112757,2.686342
False,Castle Freak,1995-08-04,tt0112643,2.26977
False,Circle of Friends,1995-03-16,tt0112679,2.605521
False,Clerks,1994-09-13,tt0109445,10.513367
False,Don Juan DeMarco,1994-10-01,tt0112883,7.438934
False,Disclosure,1994-12-09,tt0109635,11.812244
False,Dream Man,1995-01-01,tt0112899,0.155859
False,Drop Zone,1994-12-08,tt0109676,9.579155
False,Destiny Turns on the Radio,1995-04-28,tt0112854,0.710671
False,Death and the Maiden,1994-05-04,tt0109579,5.484156
False,Dolores Claiborne,1995-03-24,tt0109642,5.8025
False,Dumb and Dumber,1994-12-16,tt0109686,9.844558
False,飲食男女,1994-08-03,tt0111797,4.860016
False,Exotica,1994-09-24,tt0109759,5.378467
False,Exit to Eden,1994-10-14,tt0109758,4.322726
False,Ed Wood,1994-09-27,tt0109707,11.720358
False,French Kiss,1995-05-05,tt0113117,9.146544
False,Forget Paris,1995-05-19,tt0113097,16.236745
False,Far from Home: The Adventures of Yellow Dog,1995-01-13,tt0113028,2.657337
False,A Goofy Movie,1995-04-07,tt0113198,10.177977
False,Hideaway,1995-03-03,tt0113303,8.182165
False,Fluke,1995-06-02,tt0113089,4.953936
False,Farinelli,1994-12-07,tt0109771,8.935058
False,Gordy,1995-05-12,tt0113199,0.398924
False,Gumby: The Movie,1995-12-01,tt0113234,0.090452
False,The Glass Shield,1994-09-16,tt0109906,1.012197
False,Hoop Dreams,1994-09-12,tt0110057,9.47666
False,Heavenly Creatures,1994-09-02,tt0110005,9.438042
False,Houseguest,1995-01-06,tt0110066,2.688562
False,Immortal Beloved,1994-12-16,tt0110116,7.983666
False,Heavyweights,1995-02-17,tt0110006,9.546707
False,The Hunted,1995-02-24,tt0113360,2.756986
False,I.Q.,1994-12-24,tt0110099,5.146352
False,Interview with the Vampire,1994-11-11,tt0110148,11.970205
False,Jefferson in Paris,1995-03-31,tt0113463,1.596058
False,The Jerky Boys,1995-02-03,tt0110189,0.748846
False,Junior,1994-11-22,tt0110216,6.710215
False,Just Cause,1995-02-17,tt0113501,9.195256
False,A Kid in King Arthur's Court,1995-08-11,tt0113538,5.874511
False,Kiss of Death,1995-04-21,tt0113552,7.797512
False,Star Wars,1977-05-25,tt0076759,42.149697
False,Little Women,1994-12-21,tt0110367,9.774994
False,A Little Princess,1995-05-10,tt0113670,7.731725
False,Ladybird Ladybird,1994-02-18,tt0110296,0.84508
False,L'Enfer,1994-02-16,tt0109731,1.948315
False,Como agua para chocolate,1992-04-16,tt0103994,4.126083
False,Legends of the Fall,1994-12-16,tt0110322,12.199047
False,Major Payne,1995-03-24,tt0110443,9.253362
False,Little Odessa,1994-10-27,tt0110365,1.861292
False,Mi Vida Loca,1994-06-08,tt0107566,1.788829
False,Love Affair,1994-10-21,tt0110391,3.290192
False,Losing Isaiah,1995-03-17,tt0113691,7.698526
False,The Madness of King George,1994-12-28,tt0110428,4.81307
False,Frankenstein,1994-11-04,tt0109836,14.287753
False,Man of the House,1995-03-03,tt0113755,2.558118
False,Mixed Nuts,1994-12-21,tt0110538,2.899608
False,Milk Money,1994-08-31,tt0110516,3.770115
False,Miracle on 34th Street,1994-11-18,tt0110527,5.831622
False,Miami Rhapsody,1995-01-27,tt0113808,1.137266
False,My Family,1995-05-03,tt0113896,3.121288
False,Murder in the First,1995-01-20,tt0113870,9.518564
False,Nobody's Fool,1994-12-23,tt0110684,2.891269
False,Nell,1994-12-23,tt0110638,5.930957
False,New Jersey Drive,1995-04-19,tt0113967,0.629955
False,New York Cop,1993-08-14,tt0117169,0.004537
False,Beyond Bedlam,1994-04-22,tt0106402,0.426952
False,Nemesis 2 - Nebula,1995-09-26,tt0113948,1.466491
False,Nina Takes a Lover,1995-03-03,tt0110671,0.769522
False,Natural Born Killers,1994-08-25,tt0110632,11.226856
False,Only You,1994-09-17,tt0110737,4.936761
False,Once Were Warriors,1994-09-02,tt0110729,4.025276
False,Poison Ivy II: Lily,1996-01-16,tt0114151,6.448039
False,Outbreak,1995-03-10,tt0114069,13.676444
False,Léon,1994-09-14,tt0110413,20.477329
False,The Perez Family,1995-05-12,tt0114113,1.433544
False,A Pyromaniac's Love Story,1995-04-28,tt0114210,0.463307
False,Pulp Fiction,1994-09-10,tt0110912,140.950236
False,Panther,1995-11-10,tt0114084,7.160149
False,Pushing Hands,1992-02-01,tt0105652,1.638622
False,Priest,1994-01-01,tt0110889,1.881932
False,Quiz Show,1994-09-16,tt0110932,7.772505
False,Picture Bride,1995-05-05,tt0114129,1.296912
False,La Reine Margot,1994-05-13,tt0110963,4.405405
False,The Quick and the Dead,1995-02-09,tt0114214,7.54701
False,Roommates,1995-03-01,tt0114296,3.395867
False,Prêt-à-Porter,1994-12-23,tt0110907,6.259433
False,Trois couleurs : Rouge,1994-05-27,tt0111495,7.832755
False,Trois couleurs : Bleu,1993-01-10,tt0108394,8.843517
False,Trois couleurs : Blanc,1994-01-26,tt0111507,6.5898
False,Pao Da Shuang Deng,1994-10-14,tt0110769,0.078257
False,Rent-a-Kid,1995-01-01,tt0114268,1.155255
False,Relative Fear,1995-10-03,tt0110965,0.499601
False,Stuart Saves His Family,1995-04-12,tt0114571,1.390885
False,The Swan Princess,1994-11-18,tt0111333,8.910462
False,The Secret of Roan Inish,1994-01-01,tt0111112,1.750481
False,The Specialist,1994-10-07,tt0111255,10.388183
False,Stargate,1994-10-27,tt0111282,13.328924
False,The Santa Clause,1994-11-10,tt0111070,9.665424
False,The Shawshank Redemption,1994-09-23,tt0111161,51.645403
False,Shallow Grave,1994-12-22,tt0111149,8.223026
False,Suture,1993-09-14,tt0108260,1.298224
False,Fresa y chocolate,1993-01-01,tt0106966,1.777197
False,Swimming with Sharks,1994-09-10,tt0114594,5.869261
False,The Sum of Us,1994-07-12,tt0111309,1.407427
False,Senior Trip,1995-09-08,tt0113936,5.05806
False,活着,1994-06-30,tt0110081,5.260627
False,Tank Girl,1995-03-31,tt0114614,7.602087
False,Tales from the Crypt: Demon Knight,1995-01-13,tt0114608,9.455342
False,Star Trek: Generations,1994-11-17,tt0111280,8.105708
False,Tales from the Hood,1995-05-24,tt0114609,2.86007
False,Tom & Viv,1994-04-15,tt0111454,0.704204
False,Village of the Damned,1995-04-28,tt0114852,6.529879
False,Tommy Boy,1995-03-31,tt0114694,11.971318
False,Vanya on 42nd Street,1994-09-13,tt0111590,7.039846
False,The Underneath,1995-04-28,tt0114788,2.059771
False,The Walking Dead,1995-02-24,tt0114888,0.620873
False,What's Eating Gilbert Grape,1993-12-17,tt0108550,10.3919
False,Virtuosity,1995-08-04,tt0114857,5.188399
False,While You Were Sleeping,1995-04-21,tt0114924,15.783615
False,The War,1994-11-04,tt0111667,3.908596
False,Double Happiness,1994-09-07,tt0109655,0.372239
False,Muriel's Wedding,1994-09-29,tt0110598,5.254847
False,The Baby-Sitters Club,1995-08-18,tt0112435,2.15805
False,Ace Ventura: Pet Detective,1994-02-04,tt0109040,11.247957
False,The Adventures of Priscilla Queen of the Desert,1994-05-31,tt0109045,8.328596
False,Backbeat,1994-04-01,tt0106339,2.487951
False,Bitter Moon,1992-09-02,tt0104779,11.298195
False,Bullets Over Broadway,1994-10-14,tt0109348,5.72288
False,Clear and Present Danger,1994-08-03,tt0109444,7.513245
False,The Client,1994-07-20,tt0109446,15.263829
False,Corrina Corrina,1994-08-12,tt0109484,6.924689
False,Crooklyn,1994-05-13,tt0109504,2.533022
False,The Crow,1994-05-11,tt0109506,15.799336
False,Cobb,1994-12-02,tt0109450,2.583363
False,The Flintstones,1994-05-26,tt0109813,15.019586
False,Forrest Gump,1994-07-06,tt0109830,48.307194
False,Four Weddings and a Funeral,1994-03-09,tt0109831,8.990345
False,Higher Learning,1995-01-11,tt0113305,7.817811
False,I Like It Like That,1994-10-14,tt0110091,0.289295
False,I Love Trouble,1994-06-29,tt0110093,3.570874
False,It Could Happen to You,1994-07-29,tt0110167,11.272073
False,The Jungle Book,1994-12-23,tt0110213,10.714235
False,Die Macht der Bilder: Leni Riefenstahl,1993-09-11,tt0107472,0.568884
False,The Lion King,1994-06-23,tt0110357,21.605761
False,Little Buddha,1993-12-01,tt0107426,5.681522
False,New Nightmare,1994-10-13,tt0111686,9.860522
False,The Mask,1994-07-29,tt0110475,14.13488
False,Maverick,1994-05-20,tt0110478,15.050326
False,Mrs. Parker and the Vicious Circle,1994-09-07,tt0110588,4.739054
False,The Naked Gun 33⅓: The Final Insult,1994-03-18,tt0110622,10.587232
False,The Paper,1994-03-18,tt0110771,4.006063
False,Reality Bites,1994-02-18,tt0110950,6.514592
False,Red Rock West,1993-07-08,tt0105226,5.137903
False,Ri¢hie Ri¢h,1994-12-19,tt0110989,6.595255
False,Safe Passage,1994-12-01,tt0111054,4.931565
False,The River Wild,1994-09-30,tt0110997,10.511241
False,Speed,1994-06-09,tt0111257,10.859292
False,Speechless,1994-12-16,tt0111256,2.334226
False,Timecop,1994-09-15,tt0111438,8.907074
False,True Lies,1994-07-14,tt0111503,11.396099
False,When a Man Loves a Woman,1994-04-29,tt0111693,4.322544
False,Wolf,1994-06-17,tt0111742,14.063845
False,Wyatt Earp,1994-06-24,tt0111756,9.277147
False,Bad Company,1995-01-20,tt0112443,0.912415
False,A Man of No Importance,1994-12-22,tt0110455,0.406113
False,S.F.W.,1994-09-15,tt0111048,2.504529
False,A Low Down Dirty Shame,1994-11-23,tt0110399,3.021526
False,Boys Life: Three Stories of Love Lust and Liberation,1994-09-30,tt0112570,0.054148
False,Le colonel Chabert,1994-01-01,tt0109454,0.934312
False,Faster Pussycat! Kill! Kill!,1965-08-06,tt0059170,4.220541
False,Jason's Lyric,1994-09-28,tt0110186,0.912909
False,The Secret Adventures of Tom Thumb,1993-12-10,tt0108069,0.381704
False,Street Fighter,1994-12-22,tt0111301,13.58449
False,Coldblooded,1995-09-15,tt0112702,2.342756
False,Desert Winds,1997-12-31,tt0112849,0.251223
False,Fall Time,1995-05-13,tt0113014,1.108494
False,The Fear,1995-01-20,tt0113043,0.268043
False,Frank and Ollie,1995-10-20,tt0113104,0.142357
False,Girl in the Cadillac,1995-10-24,tt0113173,0.405392
False,Homage,1995-05-03,tt0113319,0.014925
False,Mirage,1995-11-21,tt0113827,0.302957
False,Open Season,1996-05-03,tt0114047,0.012456
False,Dos Crímenes,1995-05-26,tt0112889,0.233376
False,Brother Minister: The Assassination of Malcolm X,1995-03-01,tt0109339,0.0368
False,Highlander III: The Sorcerer,1994-11-29,tt0110027,6.866634
False,Federal Hill,1995-02-24,tt0109785,0.100685
False,In the Mouth of Madness,1994-12-12,tt0113409,8.497643
False,8 Seconds,1994-02-25,tt0109021,1.888534
False,Above the Rim,1994-03-23,tt0109035,4.38154
False,Addams Family Values,1993-11-19,tt0106220,17.555909
False,Martin Lawrence: You So Crazy,1994-04-27,tt0111804,0.394194
False,The Age of Innocence,1993-09-17,tt0106226,8.013617
False,Airheads,1994-08-05,tt0109068,7.09232
False,The Air Up There,1994-01-07,tt0109067,1.896273
False,Another Stakeout,1993-07-22,tt0106292,12.967239
False,Bad Girls,1994-04-22,tt0109198,14.644772
False,Barcelona,1994-07-29,tt0109219,1.632711
False,Being Human,1994-05-06,tt0106379,2.783872
False,The Beverly Hillbillies,1993-10-15,tt0106400,5.673735
False,Beverly Hills Cop III,1994-05-24,tt0109254,11.787784
False,Black Beauty,1994-07-29,tt0109279,8.398845
False,Blink,1994-01-26,tt0109297,3.00282
False,Blown Away,1994-07-01,tt0109303,13.155071
False,Blue Chips,1994-02-18,tt0109305,6.131056
False,Blue Sky,1994-09-16,tt0109306,4.993829
False,Body Snatchers,1993-06-09,tt0106452,6.559693
False,Boxing Helena,1993-06-18,tt0106471,4.304224
False,A Bronx Tale,1993-09-14,tt0106489,6.115628
False,Cabin Boy,1994-01-07,tt0109361,1.679042
False,Calendar Girl,1993-09-03,tt0106505,1.316741
False,Carlito's Way,1993-11-10,tt0106519,8.698509
False,City Slickers II: The Legend of Curly's Gold,1994-06-10,tt0109439,8.605703
False,Clean Slate,1994-05-06,tt0109443,2.724621
False,Cliffhanger,1993-05-28,tt0106582,9.830853
False,Coneheads,1993-07-23,tt0106598,10.722729
False,Color of Night,1994-08-19,tt0109456,14.228963
False,Cops & Robbersons,1994-04-15,tt0109480,7.042878
False,The Cowboy Way,1994-06-03,tt0109493,4.286279
False,Dangerous Game,1993-11-19,tt0106660,2.70097
False,Dave,1993-05-07,tt0106673,13.696394
False,Dazed and Confused,1993-09-24,tt0106677,6.8652
False,Demolition Man,1993-10-08,tt0106697,11.626116
False,The Endless Summer 2,1994-06-03,tt0109729,0.408159
False,Even Cowgirls Get the Blues,1994-05-13,tt0106834,2.970724
False,Fatal Instinct,1993-10-29,tt0106873,3.555139
False,霸王别姬,1993-09-16,tt0106332,4.875827
False,The Favor,1994-04-29,tt0109783,1.344876
False,Fearless,1993-10-15,tt0106881,9.284624
False,Fear of a Black Hat,1994-10-28,tt0106880,0.985441
False,With Honors,1994-04-29,tt0111732,2.969003
False,Flesh and Bone,1993-11-05,tt0106926,1.896869
False,Widows' Peak,1994-05-13,tt0111712,0.409427
False,For Love or Money,1993-10-01,tt0106941,8.468869
False,The Firm,1993-06-30,tt0106918,9.678367
False,Free Willy,1993-07-16,tt0106965,5.990572
False,Fresh,1994-08-24,tt0109842,3.970215
False,The Fugitive,1993-08-06,tt0106977,10.08937
False,Geronimo: An American Legend,1993-12-10,tt0107004,4.653462
False,The Getaway,1994-02-11,tt0109890,14.214403
False,Getting Even with Dad,1994-06-17,tt0109891,2.410545
False,Go Fish,1994-06-10,tt0109913,0.775898
False,A Good Man in Africa,1994-07-14,tt0109920,5.22583
False,Guilty as Sin,1993-06-04,tt0107057,5.385108
False,Hard Target,1993-08-20,tt0107076,7.834351
False,Heaven & Earth,1993-12-24,tt0107096,4.190541
False,Hot Shots! Part Deux,1993-05-21,tt0107144,13.482371
False,Live Nude Girls,1995-12-08,tt0113674,2.138959
False,The Englishman Who Went Up a Hill But Came Down a Mountain,1995-05-12,tt0112966,5.331753
False,The House of the Spirits,1993-10-19,tt0107151,10.687795
False,House Party 3,1994-01-01,tt0110064,0.996047
False,The Hudsucker Proxy,1994-03-11,tt0110074,7.550545
False,I'll Do Anything,1994-02-04,tt0110097,1.742974
False,In the Army Now,1994-08-12,tt0110123,6.071466
False,In the Line of Fire,1993-07-08,tt0107206,12.637158
False,In the Name of the Father,1993-12-12,tt0107207,7.405895
False,The Inkwell,1994-04-22,tt0110137,0.613335
False,What's Love Got to Do with It,1993-06-09,tt0108551,14.820883
False,Jimmy Hollywood,1994-03-30,tt0110197,4.563989
False,Judgment Night,1993-10-15,tt0107286,5.538671
False,Jurassic Park,1993-06-11,tt0107290,8.863776
False,Kalifornia,1993-09-01,tt0107302,8.4337
False,Killing Zoe,1993-10-01,tt0110265,4.948569
False,King of the Hill,1993-08-20,tt0107322,4.375347
False,Lassie,1994-07-22,tt0110305,3.645342
False,Last Action Hero,1993-06-18,tt0107362,9.434006
False,Life With Mikey,1993-06-04,tt0107413,6.446229
False,Lightning Jack,1994-03-11,tt0110353,2.913584
False,M. Butterfly,1993-09-09,tt0107468,6.516976
False,Made in America,1993-05-27,tt0107478,5.43085
False,Malice,1993-09-29,tt0107497,9.861672
False,The Man without a Face,1993-08-25,tt0107501,5.997712
False,Manhattan Murder Mystery,1993-08-18,tt0107507,8.939404
False,Menace II Society,1993-05-26,tt0107554,5.260924
False,Executive Decision,1996-03-15,tt0116253,13.106291
